RA,DEC,nvotes,elliptical,edge_on_disk,dont_know,merger,face_on_spiral,type
239.1919,-0.4201667,31,0.128999993205,0.0,0.870999991894,0.0,0.0,dont_know
240.6792,-0.4229167,35,0.0,0.0,1.0,0.0,0.0,dont_know
242.8478,-0.42025,23,0.0430000014603,0.0,0.957000017166,0.0,0.0,dont_know
243.6585,-0.4391667,24,0.082999996841,0.0,0.916999995708,0.0,0.0,dont_know
245.8009,-0.5680556,49,0.101999998093,0.019999999553,0.878000020981,0.0,0.0,dont_know
248.9867,-0.4220278,32,0.0309999994934,0.0619999989867,0.90600001812,0.0,0.0,dont_know
248.9935,-0.4203056,23,0.0,0.0,1.0,0.0,0.0,dont_know
249.202,-0.4966389,50,0.20000000298,0.0,0.800000011921,0.0,0.0,dont_know
249.3406,-0.4201944,60,0.0670000016689,0.0170000009239,0.916999995708,0.0,0.0,dont_know
237.0825,-0.2024444,37,0.0810000002384,0.0,0.919000029564,0.0,0.0,dont_know
237.096,-0.05138889,36,0.138999998569,0.0,0.861000001431,0.0,0.0,dont_know
241.3076,-0.1095833,58,0.0170000009239,0.0,0.98299998045,0.0,0.0,dont_know
246.3121,-0.002194444,32,0.0309999994934,0.0,0.96899998188,0.0,0.0,dont_know
238.1646,0.3470278,30,0.0670000016689,0.0,0.899999976158,0.0329999998212,0.0,dont_know
243.8807,0.4118889,66,0.0,0.0,1.0,0.0,0.0,dont_know
246.5038,0.2121944,20,0.0500000007451,0.0,0.949999988079,0.0,0.0,dont_know
247.2942,0.2539722,55,0.0,0.0,1.0,0.0,0.0,dont_know
170.9419,-1.099889,52,0.0769999995828,0.0379999987781,0.768999993801,0.0,0.115000002086,dont_know
171.4908,-1.080944,29,0.137999996543,0.0,0.861999988556,0.0,0.0,dont_know
171.4916,-1.084472,32,0.0,0.0,1.0,0.0,0.0,dont_know
171.4928,-1.073722,51,0.0,0.0,1.0,0.0,0.0,dont_know
180.0963,-1.097722,54,0.0189999993891,0.0189999993891,0.777999997139,0.0,0.185000002384,dont_know
180.0939,-1.104694,65,0.0149999996647,0.0149999996647,0.785000026226,0.0,0.183999999426,dont_know
180.1095,-1.102222,59,0.0509999990463,0.0340000018477,0.763000011444,0.0170000009239,0.136000007391,dont_know
180.0837,-1.1065,27,0.0,0.0370000004768,0.666999995708,0.0,0.296000003815,dont_know
186.3894,-1.053056,53,0.0570000000298,0.0,0.943000018597,0.0,0.0,dont_know
190.0121,-1.050806,28,0.0359999984503,0.107000000775,0.786000013351,0.0710000023246,0.0,dont_know
194.2445,-1.11225,42,0.0,0.0,1.0,0.0,0.0,dont_know
201.5511,-1.188944,33,0.0,0.0299999993294,0.97000002861,0.0,0.0,dont_know
206.155,-1.050472,21,0.0,0.0480000004172,0.952000021935,0.0,0.0,dont_know
206.8077,-1.061917,26,0.0,0.0,1.0,0.0,0.0,dont_know
206.8287,-1.065361,57,0.0,0.0,1.0,0.0,0.0,dont_know
207.0656,-1.104556,30,0.0329999998212,0.0,0.967000007629,0.0,0.0,dont_know
207.0108,-1.095472,36,0.0,0.0,1.0,0.0,0.0,dont_know
207.1964,-1.126222,31,0.0,0.0,1.0,0.0,0.0,dont_know
215.7018,-1.071111,24,0.082999996841,0.0,0.916999995708,0.0,0.0,dont_know
215.789,-1.058528,32,0.0,0.0309999994934,0.96899998188,0.0,0.0,dont_know
215.8112,-1.055306,35,0.0,0.0,1.0,0.0,0.0,dont_know
165.0131,-0.6314445,54,0.0740000009537,0.0,0.925999999046,0.0,0.0,dont_know
170.5118,-0.6335,28,0.0,0.0,1.0,0.0,0.0,dont_know
174.3364,-0.6664444,26,0.153999999166,0.0,0.846000015736,0.0,0.0,dont_know
175.2285,-0.6788055,24,0.0,0.0,1.0,0.0,0.0,dont_know
175.2275,-0.6716111,33,0.0,0.0299999993294,0.97000002861,0.0,0.0,dont_know
182.3455,-0.74675,28,0.143000006676,0.143000006676,0.679000020027,0.0359999984503,0.0,dont_know
187.0129,-0.72775,33,0.273000001907,0.0299999993294,0.697000026703,0.0,0.0,dont_know
190.2628,-0.6310833,20,0.0,0.0500000007451,0.949999988079,0.0,0.0,dont_know
190.8256,-0.6435556,28,0.0359999984503,0.0,0.786000013351,0.0,0.179000005126,dont_know
203.7097,-0.6318055,21,0.0480000004172,0.0,0.952000021935,0.0,0.0,dont_know
